,ipo year,number of employees,country,ceo,founded_year,market_cap,name
748,,"52,488",South Korea,Song Ho-Sung,1944.0,29.02 Billion USD,KIA MOTORS CORPORATION
749,,"13,840",Sweden,Helena Hedblom,2018.0,29.02 Billion USD,EPIROC AB (PUBL)
750,,"2,096",Hong Kong,,1862.0,28.99 Billion USD,HONG KONG AND CHINA GAS COMPANY
751,2004.0,"44,700",USA,Robert Glen Goldstein,1988.0,28.96 Billion USD,LAS VEGAS SANDS CORP
752,,"9,000",Australia,Scott Charlton,1996.0,28.95 Billion USD,TRANSURBAN GROUP
753,,"10,065",USA,Eric M. Green,1923.0,28.93 Billion USD,WEST PHARMACEUTICAL SERVICES
754,,"19,062",Switzerland,Urs Schaeppi,1998.0,28.91 Billion USD,SWISSCOM AG
755,,"46,600",UK,Carl Hess,2016.0,28.85 Billion USD,WILLIS TOWERS WATSON PUBLIC COMPANY
756,,"11,908",Switzerland,Christian Buhl,1874.0,28.74 Billion USD,GEBERIT AG
757,,"24,272",Indonesia,Ririek Adriansyah,1856.0,28.72 Billion USD,PT TELEKOMUNIKASI INDONESIA TBK
758,2017.0,"2,539",USA,Dev Ittycheria,2007.0,28.68 Billion USD,MONGODB
759,,"2,972",China,,1995.0,28.64 Billion USD,CHONGQING ZHIFEI BIOLOGICAL PRODUCTS
760,,"19,169",Netherlands,Nancy McKinstry,1987.0,28.49 Billion USD,WOLTERS KLUWER
761,,"320,618",Mexico,Eduardo Padilla Silva,1936.0,28.48 Billion USD,FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA)
762,,"40,000",USA,Steve Rendle,1899.0,28.47 Billion USD,V.F. CORPORATION
763,1998.0,"4,742",USA,Andrew C. Florance,1987.0,28.39 Billion USD,COSTAR GROUP
764,1991.0,"9,800",USA,Anders Gustafsson,1969.0,28.37 Billion USD,ZEBRA TECHNOLOGIES CORPORATION
765,,"24,500",Canada,Paul A. Mahon,1891.0,28.25 Billion USD,GREAT-WEST LIFECO
766,,"142,150",France,Stephane Richard,1988.0,28.20 Billion USD,ORANGE S.A
767,2020.0,"26,000",USA,Jay Farner,1985.0,28.14 Billion USD,ROCKET COMPANIES
768,,"31,653",Japan,Yasuo Takeuchi,1919.0,28.09 Billion USD,OLYMPUS CORPORATION
769,,"29,378",Denmark,Henrik Andersen,1945.0,28.08 Billion USD,VESTAS WIND SYSTEMS A/S
770,,"66,674",Switzerland,Thomas Oetterli,1874.0,28.05 Billion USD,SCHINDLER HOLDING AG
771,,"5,054",Sweden,Martin Carlesund,2006.0,27.96 Billion USD,EVOLUTION GAMING GROUP AB (PUBL)
772,,"22,892",Singapore,Kuan Moon Yuen,1879.0,27.94 Billion USD,SINGAPORE TELECOMMUNICATIONS (SINGTEL)
773,,"93,300",USA,,1977.0,,MERCADONA
774,2004.0,"4,013",USA,Joseph Margolis,1977.0,27.91 Billion USD,EXTRA SPACE STORAGE
775,,"9,813",Finland,Torbjorn Magnusson,1909.0,27.89 Billion USD,SAMPO OYJ
776,,"139,677",Japan,Yo Honma,1978.0,27.86 Billion USD,NTT DATA CORPORATION
777,,"2,847",USA,Pierce H. Norton II,1906.0,27.85 Billion USD,ONEOK
778,,"33,300",USA,Hassane El-Khoury,1999.0,27.82 Billion USD,ON SEMICONDUCTOR CORPORATION
779,,"146,518",Japan,Takeshi Sugiyama,1921.0,27.73 Billion USD,MITSUBISHI ELECTRIC CORPORATION
780,,"42,000",USA,Steven H. Collis,1985.0,27.71 Billion USD,AMERISOURCEBERGEN CORPORATION
781,,"2,545",USA,Stewart Butterfield,2009.0,27.70 Billion USD,SLACK TECHNOLOGIES
782,,"2,413",Canada,Alex Pourbaix,2009.0,27.66 Billion USD,CENOVUS ENERGY
783,,"87,346",China,,2001.0,27.62 Billion USD,GOERTEK
784,,"6,000",USA,J Kent Masters,1994.0,27.61 Billion USD,ALBEMARLE CORPORATION
785,,"11,912",USA,J. Thomas Hill,1909.0,27.59 Billion USD,VULCAN MATERIALS COMPANY
786,,"1,550",USA,Jack A Fusco,1996.0,27.52 Billion USD,CHENIERE ENERGY
787,,"15,000",Colombia,Felipe Bayon,1951.0,27.47 Billion USD,ECOPETROL
788,,"26,000",USA,Patricia K. Poppe,1905.0,27.47 Billion USD,PACIFIC GAS & ELECTRIC CORPORATION
789,,"11,216",China,,2003.0,27.41 Billion USD,SHENZHEN INOVANCE TECHNOLOGY
790,,"5,500",China,,2000.0,27.34 Billion USD,GANFENG LITHIUM
791,,"75,000",USA,Adam H Schechter,1978.0,27.30 Billion USD,LABORATORY CORPORATION OF AMERICA HOLDINGS
792,,"26,000",Ireland,Edmond Scanlon,1972.0,27.28 Billion USD,KERRY GROUP
793,,"209,000",France,,1896.0,24.16 Billion USD,PEUGEOT
794,,"19,285",Taiwan,Stan Hung,1980.0,27.28 Billion USD,UNITED MICROELECTRONICS CORPORATION
795,,"14,800",USA,Peter M Kern,1996.0,27.26 Billion USD,EXPEDIA GROUP
796,,"85,700",China,,2005.0,27.21 Billion USD,SHENZHOU INTERNATIONAL GROUP HOLDINGS
797,,,China,,1997.0,27.20 Billion USD,QINGHAI SALT LAKE INDUSTRY
798,,"7,082",USA,Patrick J Ottensmeyer,1887.0,27.20 Billion USD,KANSAS CITY SOUTHERN
799,,"43,293",Japan,Masatoshi Kimata,1890.0,27.15 Billion USD,KUBOTA CORPORATION
800,,"200,000",Canada,Galen G. Weston,1919.0,27.07 Billion USD,LOBLAW COMPANIES
801,,"46,316",China,Zhang Jinliang,1992.0,27.05 Billion USD,CHINA EVERBRIGHT BANK COMPANY
802,,"20,000",USA,Jim Snee,1891.0,27.05 Billion USD,HORMEL FOODS CORPORATION
803,,,China,,2014.0,,WEBANK
804,,"311,269",Germany,Stephan Sturm,1912.0,27.03 Billion USD,FRESENIUS SE
805,1986.0,"26,400",USA,David T. Feinberg,1979.0,26.98 Billion USD,CERNER CORPORATION
806,,"14,802",Ireland,Peter Jackson,2016.0,26.93 Billion USD,FLUTTER ENTERTAINMENT
807,,"37,769",Saudi Arabia,Fahad bin Hussein Al-Sudairi,2000.0,26.93 Billion USD,SAUDI ELECTRICITY COMPANY
808,2013.0,"9,900",USA,Christine A Leahy,1984.0,26.93 Billion USD,CDW CORPORATION
809,,"25,000",USA,Michael G. O'Grady,1889.0,26.93 Billion USD,NORTHERN TRUST CORPORATION
810,,,Taiwan,,1968.0,26.91 Billion USD,EVERGREEN MARINE CORPORATION (TAIWAN)
811,2018.0,"5,630",USA,Dan Springer,2003.0,26.90 Billion USD,DOCUSIGN
812,,"84,000",Netherlands,Dolf van den Brink,1864.0,26.89 Billion USD,HEINEKEN HOLDING
813,,"9,372",China,,1995.0,26.88 Billion USD,CHINA INTERNATIONAL CAPITAL CORPORATION
814,,"55,100",USA,Robert E Jordan,1967.0,26.84 Billion USD,SOUTHWEST AIRLINES
815,,"1,545",USA,John B. Hess,1933.0,26.83 Billion USD,HESS CORPORATION
816,,"1,900",USA,Greg Maffei,2014.0,26.77 Billion USD,LIBERTY BROADBAND CORPORATION
817,,"20,000",USA,Bryan C. Hanson,1927.0,26.77 Billion USD,ZIMMER BIOMET HOLDINGS
818,1994.0,"8,700",USA,C. Howard Nye,1949.0,26.77 Billion USD,MARTIN MARIETTA MATERIALS
819,,"5,800",Canada,Brad Corson,1880.0,26.73 Billion USD,IMPERIAL OIL
820,,"5,700",Qatar,,2003.0,26.69 Billion USD,INDUSTRIES QATAR
821,,"26,920",Canada,Laurent Ferreira,1859.0,26.66 Billion USD,NATIONAL BANK OF CANADA
822,,"36,000",India,Kirti Ganorkar,1983.0,26.64 Billion USD,SUN PHARMACEUTICAL INDUSTRIES
823,,"80,000",Taiwan,Ping Zheng,1971.0,26.61 Billion USD,DELTA ELECTRONICS
824,,"30,000",India,,2007.0,,FLIPKART
825,,"52,323",China,,2000.0,26.59 Billion USD,BAOSHAN IRON & STEEL
826,,"26,506",China,,1999.0,26.58 Billion USD,HENGLI PETROCHEMICAL
827,,"259,385",Japan,Kazuhiro Tsuga,1918.0,26.57 Billion USD,PANASONIC CORPORATION
828,,"83,000",USA,Ed Bastian,1925.0,26.57 Billion USD,DELTA AIR LINES
829,,"19,498",Germany,Markus Krebber,1898.0,26.49 Billion USD,RWE
830,,"30,105",India,Subhash Kumar,1956.0,26.47 Billion USD,ONGC
831,,"2,100",Poland,,1999.0,23.31 Billion USD,ALLEGRO
832,,"33,200",UK,Damian Paul Gammell,2016.0,26.44 Billion USD,COCA-COLA EUROPACIFIC PARTNERS PLC
833,1998.0,902,USA,D. James Bidzos,1995.0,26.40 Billion USD,VERISIGN
834,2014.0,"18,000",USA,Brian D. Doubles,2003.0,26.38 Billion USD,SYNCHRONY FINANCIAL
835,,"23,000",USA,Richard J. Tobin,1955.0,26.34 Billion USD,DOVER CORPORATION
836,,,China,,,,JD DIGITS
837,,,India,Suresh Manglani,2004.0,26.34 Billion USD,ADANI TOTAL GAS LIMITED
838,1997.0,"15,016",Ireland,Michael O'Leary,1984.0,26.29 Billion USD,RYANAIR HOLDINGS
839,,"8,000",Saudi Arabia,Mosaed Al Ohali,1997.0,26.29 Billion USD,SAUDI ARABIAN MINING COMPANY (MA'ADEN)
840,2001.0,"2,675",USA,Clay B Siegall,1997.0,26.28 Billion USD,SEAGEN
841,,"19,933",Finland,Markus Rauramo,1998.0,26.20 Billion USD,FORTUM OYJ
842,,"66,478",Japan,Hisahiro Koketsu,1926.0,26.10 Billion USD,TOYOTA INDUSTRIES CORPORATION
843,,,China,,2009.0,26.09 Billion USD,SMOORE INTERNATIONAL HOLDINGS
844,,"11,980",India,,2015.0,26.06 Billion USD,ADANI TRANSMISSIONS
845,,"22,700",USA,Donald G. Macpherson,1927.0,26.05 Billion USD,W.W. GRAINGER
846,,"383,233",France,Daniel Julien,1978.0,26.04 Billion USD,TELEPERFORMANCE SE
847,,"172,907",Hong Kong,Mr. Li,2014.0,26.03 Billion USD,CK HUTCHISON HOLDINGS
848,,"10,500",USA,Michael Rapino,1996.0,26.03 Billion USD,LIVE NATION ENTERTAINMENT
849,,"7,230",Thailand,,1979.0,25.99 Billion USD,AIRPORTS OF THAILAND
850,1994.0,"46,000",USA,Hal Lawton,1938.0,25.99 Billion USD,TRACTOR SUPPLY COMPANY
851,,"2,653",Switzerland,Magdalena Martullo-Blocher,1936.0,25.92 Billion USD,EMS-CHEMIE HOLDING AG
852,,"1,800",Australia,,2000.0,25.90 Billion USD,APA GROUP
853,,"5,100",USA,Matthew Farrell,1846.0,25.90 Billion USD,CHURCH & DWIGHT
854,,"171,450",France,Antoine Frerot,1853.0,25.90 Billion USD,VEOLIA ENVIRONNEMENT
855,2016.0,"18,000",USA,Jim Lico,2016.0,25.80 Billion USD,FORTIVE CORPORATION
856,,"5,900",USA,Mark E Jagiela,1960.0,25.80 Billion USD,TERADYNE
857,,"7,600",India,Suresh Narayanan,1959.0,25.74 Billion USD,NESTLE INDIA
858,,"154,000",Canada,Seetarama Kotagiri,1957.0,25.73 Billion USD,MAGNA INTERNATIONAL
859,,"164,177",China,,2015.0,25.71 Billion USD,CRRC CORPORATION
860,,"14,000",USA,Lawrence E. Kurzius,1889.0,25.68 Billion USD,MCCORMICK & COMPANY
861,,"59,262",China,Zheng Wanchun,1996.0,25.65 Billion USD,CHINA MINSHENG BANKING
862,2017.0,"1,240",USA,Dallas B. Tanner,2012.0,25.61 Billion USD,INVITATION HOMES
863,,"30,000",USA,Arnold W. Donald,1972.0,25.53 Billion USD,CARNIVAL CORPORATION
864,,"11,300",USA,Liam Griffin,2002.0,25.50 Billion USD,SKYWORKS SOLUTIONS
865,,"27,318",Japan,Masaaki Tanaka,1881.0,25.48 Billion USD,NIPPON PAINT HOLDINGS
866,,"3,625",China,,1989.0,25.46 Billion USD,LI NING COMPANY
867,,"25,377",Japan,Fujio Mitarai,1937.0,25.38 Billion USD,CANON
868,,"33,153",Japan,Makoto Inoue,1964.0,25.38 Billion USD,ORIX CORPORATION
869,1988.0,"114,042",Spain,Jose Maria Alvarez-Pallete Lopez,1924.0,25.32 Billion USD,TELEFONICA SA
870,,"7,959",Hong Kong,,1901.0,25.31 Billion USD,CLP HOLDINGS
871,2000.0,"18,700",USA,Clifton A. Pemble,1989.0,25.19 Billion USD,GARMIN
872,,"29,603",Japan,Hiroto Takeuchi,1987.0,25.18 Billion USD,CENTRAL JAPAN RAILWAY COMPANY
873,,"16,665",Japan,Takahisa Takahara,1961.0,25.16 Billion USD,UNICHARM CORPORATION
874,,529,Japan,,1962.0,25.15 Billion USD,LASERTEC CORPORATION
875,,"15,500",Ireland,,1966.0,25.07 Billion USD,KINGSPAN GROUP
876,,"2,042",India,,1988.0,25.06 Billion USD,ADANI ENTERPRISES
877,,"38,000",Hong Kong,,1996.0,24.97 Billion USD,GEELY AUTOMOBILE HOLDINGS
878,,"13,876",UK,Nigel Wilson,1836.0,24.97 Billion USD,LEGAL & GENERAL GROUP
879,1994.0,"2,429",USA,H Eric Bolton Jr,1977.0,24.92 Billion USD,MID-AMERICA APARTMENT COMMUNITIES
880,,"25,693",USA,Stephen D Steinour,1866.0,24.91 Billion USD,HUNTINGTON BANCSHARES
881,,"27,000",Hong Kong,,1992.0,24.87 Billion USD,CHINA RESOURCES BEER (HOLDINGS) COMPANY
882,,"11,697",Taiwan,,1958.0,24.83 Billion USD,NAN YA PLASTICS CORPORATION
883,,"5,590",USA,Jennifer C. Witz,2008.0,24.80 Billion USD,SIRIUS XM HOLDINGS
884,,"7,000",Brazil,Fabio Schvartsman,1899.0,24.77 Billion USD,KLABIN
885,2002.0,"40,000",USA,Dave Mosley,1979.0,24.70 Billion USD,SEAGATE TECHNOLOGY
886,,"13,003",USA,Pedro J. Pizarro,1886.0,24.69 Billion USD,EDISON INTERNATIONAL
887,,"23,500",Canada,Tony Staffieri,1960.0,24.67 Billion USD,ROGERS COMMUNICATIONS
888,,"102,000",USA,Corie Barry,1966.0,24.66 Billion USD,BEST BUY
889,1993.0,"16,600",USA,Eugene A. Hall,1979.0,24.62 Billion USD,GARTNER
890,,"8,771",Spain,Maurici Lucena Betriu,2010.0,24.61 Billion USD,AENA S.M.E
891,,,China,,1993.0,24.57 Billion USD,SANAN OPTOELECTRONICS
892,,"18,500",USA,Christopher J. Swift,1810.0,24.53 Billion USD,HARTFORD FINANCIAL SERVICES GROUP
893,,"18,180",USA,Beth E. Mooney,1825.0,24.53 Billion USD,KEYCORP
894,,"33,603",Japan,Yoshihiro Hasebe,1887.0,24.51 Billion USD,KAO CORPORATION
895,,"40,010",Denmark,Cees 't Hart,1847.0,24.43 Billion USD,CARLSBERG A/S
896,,"119,658",China,,2001.0,24.42 Billion USD,KE HOLDINGS INC.
897,,"12,244",Japan,Yozo Shimano,1921.0,24.40 Billion USD,SHIMANO
898,,"48,770",Switzerland,Thomas Gottstein,1856.0,24.38 Billion USD,CREDIT SUISSE GROUP
899,,"1,414",Australia,Susan Lloyd-Hurwitz,1972.0,24.37 Billion USD,MIRVAC GROUP
900,,38,Canada,Paul J. Brink,2007.0,24.34 Billion USD,FRANCO-NEVADA CORPORATION
901,,"12,307",China,,1991.0,24.32 Billion USD,GF SECURITIES
902,,"2,900",Taiwan,,1954.0,24.31 Billion USD,FORMOSA PLASTICS CORPORATION
903,,"22,000",Germany,Niklas Oestberg,2011.0,24.27 Billion USD,DELIVERY HERO SE
904,2017.0,"3,000",USA,Anthony Wood,2002.0,24.24 Billion USD,ROKU
905,,"94,000",Switzerland,Frankie Ng,1878.0,24.21 Billion USD,SGS SA
906,,,Sweden,Johan Hjertonsson,1984.0,24.17 Billion USD,INVESTMENT AB LATOUR (PUBL)
907,,"15,900",Ireland,Vicente Reynal,1871.0,24.17 Billion USD,INGERSOLL-RAND (IRELAND)
908,,"7,500",USA,,,,CAPITAL GROUP
909,,,China,,2001.0,24.16 Billion USD,NAURA TECHNOLOGY GROUP
910,,"22,467",China,,1993.0,24.16 Billion USD,WINGTECH TECHNOLOGY
911,,"45,000",Malaysia,Abdul Farid Alias,1960.0,24.11 Billion USD,MALAYAN BANKING BERHAD
912,2014.0,"5,895",USA,Yamini Rangan,2006.0,24.08 Billion USD,HubSpot
913,,"36,597",Spain,Gonzalo Gortazar Rotaeche,2011.0,24.07 Billion USD,CAIXABANK
914,,"90,500",UK,,1999.0,24.02 Billion USD,BAE SYSTEMS
915,,"19,406",USA,John M. Turner Jr.,1971.0,23.95 Billion USD,REGIONS FINANCIAL CORPORATION
916,,,China,,1961.0,23.91 Billion USD,CHINA NORTHERN RARE EARTH (GROUP) HIGH-TECH
917,,"20,962",Japan,Hidetoshi Shibata,2002.0,23.78 Billion USD,RENESAS ELECTRONICS CORPORATION
918,,736,Japan,,2010.0,23.77 Billion USD,DAI-ICHI LIFE HOLDINGS
919,,"99,700",UK,Philip Jansen,1980.0,23.73 Billion USD,BT GROUP
920,,781,Denmark,Jan G. J. van de Winkel,1999.0,23.70 Billion USD,GENMAB A/S
921,,"3,073",Germany,,1966.0,23.68 Billion USD,HANNOVER RUCK SE
922,,"12,489",UK,Alistair Phillips-Davies,1998.0,23.67 Billion USD,SSE PLC
923,,"61,564",Japan,Hiroyuki Ogawa,1921.0,23.64 Billion USD,KOMATSU
924,,"12,395",USA,Steven E. Strah,1997.0,23.61 Billion USD,FIRSTENERGY
925,1997.0,"20,400",USA,Matthew John Flannery,1997.0,23.60 Billion USD,UNITED RENTALS
926,,"6,970",Kuwait,Isam Jasem Al Sager,1952.0,23.56 Billion USD,NATIONAL BANK OF KUWAIT
927,,,UK,,1909.0,23.53 Billion USD,SCOTTISH MORTGAGE INVESTMENT TRUST
928,,"13,000",Ireland,Dan Carestio,1985.0,23.49 Billion USD,STERIS
929,2015.0,"1,400",USA,Josh Silverman,2005.0,23.47 Billion USD,ETSY
930,,,China,,,23.47 Billion USD,AECC AVIATION POWER
931,,"9,591",Spain,Jose D. Bogas Galvez,1944.0,23.40 Billion USD,ENDESA
932,,"23,293",Germany,Frank Mastiaux,1997.0,23.39 Billion USD,ENBW ENERGIE BADEN-WURTTEMBERG AG
933,,"43,397",Hong Kong,,1999.0,23.39 Billion USD,CHINA MENGNIU DAIRY COMPANY
934,,"40,000",USA,Jeff Miller,1919.0,23.29 Billion USD,HALLIBURTON COMPANY
935,2016.0,"5,300",China,,2010.0,23.27 Billion USD,BEIGENE
936,,"10,000",China,,2018.0,23.23 Billion USD,JD HEALTH INTERNATIONAL INC
937,,"10,300",USA,Jerry Norcia,1903.0,23.19 Billion USD,DTE ENERGY COMPANY
938,,"15,000",Kuwait,Abdulwahab Iesa Alrushood,1977.0,23.13 Billion USD,KUWAIT FINANCE HOUSE
939,2014.0,"17,463",USA,,1828.0,23.11 Billion USD,CITIZENS FINANCIAL GROUP
940,,"20,465",Germany,Vincent Warnery,1882.0,23.06 Billion USD,BEIERSDORF
941,,"22,965",USA,Robert M. Bakish,2005.0,23.06 Billion USD,VIACOM CBS
942,,"14,000",UAE,Shayne Nelson,2007.0,23.04 Billion USD,EMIRATES NBD
943,,"14,508",Switzerland,Arnd Kaldowski,1947.0,23.02 Billion USD,SONOVA HOLDING AG
944,,"45,361",China,,2002.0,23.01 Billion USD,WEICHAI POWER
945,,"58,000",Hong Kong,,1950.0,23.01 Billion USD,CK ASSET HOLDINGS
946,,"8,200",Japan,Hisashi Ietsugu,1968.0,23.01 Billion USD,SYSMEX CORPORATION
947,,"38,247",Indonesia,,1998.0,23.01 Billion USD,PT BANK MANDIRI (PERSERO) TBK
948,,"72,584",China,,1985.0,22.98 Billion USD,ZTE CORPORATION
949,,"16,000",Canada,Charles Brindamour,1809.0,22.97 Billion USD,INTACT FINANCIAL CORPORATION
950,2016.0,,China,,2002.0,22.97 Billion USD,ZTO EXPRESS (CAYMAN)
951,,340,USA,James (Jim) Connor,1972.0,22.93 Billion USD,DUKE REALTY CORPORATION
952,,"15,000",USA,Prahlad Singh,1937.0,22.92 Billion USD,PERKINELMER
953,,"15,198",China,,1992.0,22.91 Billion USD,GUOTAI JUNAN SECURITIES
954,,"157,288",Philippines,Frederic DyBuncio,1958.0,22.82 Billion USD,SM INVESTMENTS CORPORATION
955,,"17,373",Sweden,Jens Henriksson,1997.0,22.82 Billion USD,SWEDBANK AB (PUBL)
956,,"10,516",China,,1990.0,22.81 Billion USD,HUATAI SECURITIES
957,,"17,569",USA,Rene F Jones,1856.0,22.77 Billion USD,M&T BANK CORPORATION
958,1993.0,"5,961",USA,Gary A. Shiffman,1975.0,22.76 Billion USD,SUN COMMUNITIES
959,,"9,116",USA,Warner L Baxter,1997.0,22.73 Billion USD,AMEREN CORPORATION
960,,"31,000",USA,Steve Cahillane,1906.0,22.72 Billion USD,KELLOGG COMPANY
961,,"54,000",USA,Lorenzo Simonelli,1907.0,22.72 Billion USD,BAKER HUGHES COMPANY
962,,"5,607",USA,Vincent Sorgi,1920.0,22.71 Billion USD,PPL CORPORATION
963,,"29,900",Canada,,1925.0,22.68 Billion USD,POWER CORPORATION OF CANADA
964,,"49,233",South Africa,Alan Pullinger,1998.0,22.66 Billion USD,FIRSTRAND
965,,"22,000",Hong Kong,Francis Lui,1988.0,22.55 Billion USD,GALAXY ENTERTAINMENT GROUP
966,,"46,000",Sweden,Magnus Groth,2017.0,22.55 Billion USD,ESSITY AB (PUBL)
967,,"12,369",USA,Leo P. Denault,1913.0,22.54 Billion USD,ENTERGY CORPORATION
968,,"15,000",USA,Paul Reilly,1962.0,22.49 Billion USD,RAYMOND JAMES FINANCIAL
969,1994.0,"1,757",USA,Michael J Schall,1971.0,22.41 Billion USD,ESSEX PROPERTY TRUST
970,,"14,068",China,,2003.0,22.40 Billion USD,SHANGHAI INTERNATIONAL PORT (GROUP)
971,,"6,825",USA,,,,EPIC Games
972,2021.0,"1,641",USA,Max Levchin,2012.0,22.37 Billion USD,"AFFIRM HOLDINGS, INC."
973,1998.0,"37,960",Ireland,Steve Cutler,1990.0,22.37 Billion USD,ICON PUBLIC COMPANY
974,,"13,500",USA,Michael Stubblefield,2017.0,22.31 Billion USD,AVANTOR
975,,"290,000",China,,2007.0,22.30 Billion USD,CHINA RAILWAY GROUP
976,,"78,490",Japan,,1959.0,22.29 Billion USD,KYOCERA CORPORATION
977,2004.0,"14,000",USA,,1985.0,16.90 Billion USD,WELLCARE HEALTH PLANS
978,,"71,812",Japan,Tetsuro Tomita,1987.0,22.27 Billion USD,EAST JAPAN RAILWAY COMPANY
979,,"1,395",Ireland,Timothy P Walbert,2005.0,22.27 Billion USD,HORIZON THERAPEUTICS PUBLIC COMPANY
980,,"6,147",Saudi Arabia,Tareq A. Al-Sadhan,1957.0,22.20 Billion USD,RIYAD BANK
981,2004.0,"1,854",USA,Joseph J. DePaolo,2001.0,22.17 Billion USD,SIGNATURE BANK
982,2015.0,"60,400",USA,Antonio Neri,2015.0,22.16 Billion USD,HEWLETT PACKARD ENTERPRISE COMPANY
983,,"13,430",Japan,Shingo Konomoto,1965.0,22.12 Billion USD,NOMURA RESEARCH INSTITUTE
984,,"31,700",UK,Amanda Blanc,2000.0,22.11 Billion USD,AVIVA
985,,"9,000",USA,Linda Rendle,1913.0,22.10 Billion USD,THE CLOROX COMPANY
986,,"22,000",Sweden,Carina Akerstrom,1871.0,22.07 Billion USD,SVENSKA HANDELSBANKEN AB (PUBL)
987,,"128,000",UK,George G. Weston,1935.0,22.07 Billion USD,ASSOCIATED BRITISH FOODS
988,,"125,236",India,C. P. Gurnani,1986.0,22.06 Billion USD,TECH MAHINDRA
989,2012.0,870,USA,Travis D. Stice,2007.0,22.02 Billion USD,DIAMONDBACK ENERGY
990,2016.0,"8,961",Canada,Ashutosh Raghuvanshi,1987.0,22.01 Billion USD,FORTIS
991,,"9,230",China,,1991.0,22.00 Billion USD,CHINA MERCHANTS SECURITIES
992,,"236,386",Germany,,1871.0,21.98 Billion USD,CONTINENTAL AG
993,,"20,000",Russia,Pavel Sergeevich Grachev,1921.0,21.98 Billion USD,PJSC POLYUS
994,,"39,035",Japan,Masahiko Uotani,1872.0,21.97 Billion USD,SHISEIDO COMPANY
995,,"18,000",Norway,Sigve Brekke,1855.0,21.97 Billion USD,TELENOR ASA
996,,355,UK,,1920.0,21.95 Billion USD,SEGRO
997,,"18,515",Spain,Ignacio Madridejos Fernandez,1952.0,21.93 Billion USD,FERROVIAL
998,,"6,527",Denmark,Ester Baiget,2000.0,21.91 Billion USD,NOVOZYMES A/S
999,,"33,342",Brazil,Harry Schmelzer Jr.,1961.0,21.89 Billion USD,WEG
